Complaint_Text,Standardized_Complaint,Category,Sentiment,Priority,Village,Date,Pincode,lang
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Supa,01-11-2024,413109,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Supa,09-03-2025,413109,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Someshwar,02-08-2025,412306,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Baramati,24-08-2024,413102,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Someshwar,08-08-2024,412306,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Malegaon,06-10-2024,413115,en
No water supply in the village since 1 days.,no_water_supply,Water,Negative,High,Morgaon,06-05-2024,413304,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Morgaon,19-11-2024,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Someshwar,07-05-2024,412306,en
Garbage is not collected regularly in Morgaon.,garbage_not_collected,Sanitation,Negative,Medium,Someshwar,11-09-2025,412306,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,28-07-2024,413103,en
Large potholes on road,road_potholes,Road,Negative,Low,Baramati,16-08-2025,413102,en
Water tanker not arrived for 10 days,no_water_supply,Water,Negative,High,Supa,27-07-2025,413109,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Katphal,07-03-2025,413111,en
The road from Daund to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Nimbut,22-02-2024,413110,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Baramati,20-01-2024,413102,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Someshwar,23-03-2024,412306,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Pandare,25-03-2024,413103,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Supa,17-08-2025,413109,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Morgaon,19-06-2024,413304,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Supa,09-11-2024,413109,en
Village health worker is absent since 10 days.,health_worker_absent,Health,Negative,Medium,Katphal,04-01-2025,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Malegaon,31-05-2025,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Baramati,20-09-2024,413102,en
Village health worker is absent since 3 days.,health_worker_absent,Health,Negative,Medium,Baramati,23-10-2024,413102,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Malegaon,21-03-2025,413115,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Pandare,17-07-2025,413103,en
Library in village remains closed.,library_closed,Others,Negative,Low,Someshwar,29-08-2024,412306,en
Village health worker is absent since 3 days.,health_worker_absent,Health,Negative,Medium,Supa,01-07-2025,413109,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Supa,02-01-2024,413109,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Baramati,25-05-2025,413102,en
Library in village remains closed.,library_closed,Others,Negative,Low,Katphal,23-11-2024,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Pandare,22-12-2024,413103,en
Garbage is not collected regularly in Someshwar.,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,01-11-2024,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Supa,05-01-2024,413109,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Morgaon,28-07-2024,413304,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,06-11-2024,413103,en
The road from Jejuri to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Pandare,11-05-2024,413103,en
Village health worker is absent since 3 days.,health_worker_absent,Health,Negative,Medium,Morgaon,25-12-2024,413304,en
The road from Bhigwan to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Someshwar,18-05-2024,412306,en
The road from Morgaon to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Someshwar,07-04-2024,412306,en
The road from Indapur to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Pandare,22-11-2024,413103,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Morgaon,28-08-2024,413304,en
Village health worker is absent since 2 days.,health_worker_absent,Health,Negative,Medium,Baramati,23-05-2025,413102,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Baramati,09-03-2024,413102,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Katphal,15-04-2024,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Nimbut,26-12-2024,413110,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Baramati,13-04-2024,413102,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Morgaon,30-05-2025,413304,en
Electric transformer is not working in Bhigwan.,electricity_supply_disrupted,Electricity,Negative,High,Supa,27-06-2025,413109,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,11-01-2024,413102,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Malegaon,15-10-2024,413115,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Pandare,09-02-2024,413103,en
No electricity for 6 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Someshwar,18-09-2024,412306,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Morgaon,08-04-2024,413304,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Nimbut,16-06-2024,413110,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Supa,28-04-2024,413109,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,21-11-2024,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Malegaon,19-08-2025,413115,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,10-02-2025,413115,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Baramati,14-03-2024,413102,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Baramati,31-07-2025,413102,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Katphal,27-02-2024,413111,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Nimbut,24-08-2024,413110,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Nimbut,15-04-2025,413110,en
Electric transformer is not working in Morgaon.,electricity_supply_disrupted,Electricity,Negative,High,Katphal,11-01-2025,413111,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Katphal,19-03-2024,413111,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Someshwar,12-01-2025,412306,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Malegaon,29-05-2025,413115,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,10-06-2025,413115,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Baramati,14-07-2024,413102,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,12-11-2024,413110,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Pandare,11-09-2024,413103,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Katphal,05-01-2024,413111,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Morgaon,24-07-2024,413304,en
Garbage is not collected regularly in Daund.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,14-05-2025,413110,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,25-09-2024,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,02-08-2025,413110,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Malegaon,04-04-2025,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,27-10-2024,412306,en
Village health worker is absent since 2 days.,health_worker_absent,Health,Negative,Medium,Supa,21-08-2024,413109,en
Library in village remains closed.,library_closed,Others,Negative,Low,Katphal,10-08-2024,413111,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Pandare,28-08-2024,413103,en
The road from Jejuri to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Nimbut,24-02-2024,413110,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Nimbut,06-10-2024,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Baramati,01-04-2024,413102,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Morgaon,04-02-2025,413304,en
Electric transformer is not working in Indapur.,electricity_supply_disrupted,Electricity,Negative,High,Pandare,22-03-2024,413103,en
Library in village remains closed.,library_closed,Others,Negative,Low,Pandare,16-11-2024,413103,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,12-02-2024,413111,en
Large potholes on road,road_potholes,Road,Negative,Low,Morgaon,23-07-2024,413304,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,04-09-2024,413102,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Katphal,26-01-2024,413111,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Malegaon,13-07-2025,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Baramati,09-05-2024,413102,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,12-02-2024,413110,en
No water supply in the village since 9 days.,no_water_supply,Water,Negative,High,Baramati,24-05-2025,413102,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Supa,21-07-2024,413109,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Supa,04-10-2024,413109,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,14-04-2024,413103,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Pandare,18-06-2024,413103,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Malegaon,18-05-2024,413115,en
Electric transformer is not working in Loni.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,08-01-2024,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Baramati,28-11-2024,413102,en
Large potholes on road,road_potholes,Road,Negative,Low,Pandare,18-07-2025,413103,en
No electricity for 4 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Supa,02-01-2024,413109,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Morgaon,16-06-2025,413304,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Someshwar,17-03-2025,412306,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Supa,20-07-2025,413109,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Baramati,17-08-2025,413102,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Katphal,13-02-2025,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Malegaon,26-05-2024,413115,en
Water tanker not arrived for 7 days,no_water_supply,Water,Negative,High,Katphal,30-10-2024,413111,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Someshwar,20-11-2024,412306,en
Garbage is not collected regularly in Baramati.,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,01-06-2025,413115,en
The road from Bhigwan to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Supa,15-12-2024,413109,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,26-06-2024,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Baramati,15-04-2024,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Malegaon,25-02-2025,413115,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Malegaon,27-04-2025,413115,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,19-07-2025,413304,en
No electricity for 6 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Katphal,06-09-2024,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Supa,23-05-2024,413109,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Morgaon,12-11-2024,413304,en
No electricity for 2 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Nimbut,22-08-2025,413110,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,12-10-2024,413115,en
Village health worker is absent since 6 days.,health_worker_absent,Health,Negative,Medium,Baramati,16-08-2024,413102,en
Garbage is not collected regularly in Indapur.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,16-01-2024,413304,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Pandare,19-04-2025,413103,en
